"original address",latitude,longitude
"1227 N MOUNT ST,INDIANAPOLIS,INDIANA",39.785111,-86.20184
"1786 ROOSEVELT AVE,INDIANAPOLIS,INDIANA",39.791533,-86.128803
"4759 E 39TH ST,INDIANAPOLIS,INDIANA",39.826935,-86.088382
"3025 N TEMPLE AVE,INDIANAPOLIS,INDIANA",39.811564,-86.119037
"3520 EISENHOWER DR,INDIANAPOLIS,INDIANA",39.818749,-86.258608
"1802 ASBURY ST,INDIANAPOLIS,INDIANA",39.743286,-86.129657
"1442 W 32ND ST,INDIANAPOLIS,INDIANA",39.813254,-86.188646
"4111 TINCHER RD,INDIANAPOLIS,INDIANA",39.704189,-86.254368
"3216 N COLLEGE AVE,INDIANAPOLIS,INDIANA",39.814494,-86.145326
"2024 N DEQUINCY ST,INDIANAPOLIS,INDIANA",39.795101,-86.088327
"3241 CENTRAL AVE,INDIANAPOLIS,INDIANA",39.815085,-86.149323
"1216 E 15TH ST,INDIANAPOLIS,INDIANA",39.786813,-86.137832
"2607 W WASHINGTON ST,INDIANAPOLIS,INDIANA",39.765177,-86.204436
"3827 N KENWOOD AVE,INDIANAPOLIS,INDIANA",39.825685,-86.160202
"2821 RUCKLE ST,INDIANAPOLIS,INDIANA",39.808013,-86.148084
"444 TROWBRIDGE ST,INDIANAPOLIS,INDIANA",39.760311,-86.120169
"2002 E 46TH ST,INDIANAPOLIS,INDIANA",39.840468,-86.127553
"1752 WELLESLEY COMMONS,INDIANAPOLIS,INDIANA",39.791517,-86.030757
"750 N CONCORD ST,INDIANAPOLIS,INDIANA",39.777857,-86.210933
"1250 W 29TH ST,INDIANAPOLIS,INDIANA",39.808374,-86.184276
"1334 N GALE ST,INDIANAPOLIS,INDIANA",39.785469,-86.106244
"4101 N KITLEY AVE,INDIANAPOLIS,INDIANA",39.831335,-86.055041
"4825 E 21ST ST,INDIANAPOLIS,INDIANA",39.79598,-86.088246
"1837 N DEQUINCY ST,INDIANAPOLIS,INDIANA",39.79215,-86.087722
"2848 MANLOVE AVE,INDIANAPOLIS,INDIANA",39.808432,-86.127872
"9 N TEMPLE AVE,INDIANAPOLIS,INDIANA",39.768797,-86.118416
"2641 GUILFORD AVE,INDIANAPOLIS,INDIANA",39.805323,-86.141755
