OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,NaN,NaN
2113,1277358,9016236,9016236,717 N HOLMES AVE,INDIANAPOLIS,1506,0,-86.76535389075062,35.24199775413121
2114,1274713,9017612,9017612,1036 N SOMERSET AVE,INDIANAPOLIS,103015,0,-86.76535389075062,35.24199775413121
2115,1130521,5001147,5001147,1005 E SUMNER AVE,INDIANAPOLIS,139386,1,-86.76535389075062,35.24199775413121
2116,1044411,1078436,1078436,403 N GRAY ST,INDIANAPOLIS,174500,1,-86.76535389075062,35.24199775413121
2117,1177742,7029920,7029920,3508 N EATON AVE,INDIANAPOLIS,212808,0,-86.76535389075062,35.24199775413121
2118,1038403,1080009,1080009,905 N GRAY ST,INDIANAPOLIS,180056,0,-86.76535389075062,35.24199775413121
2119,1004175,1088696,1088696,3357 BROUSE AVE,INDIANAPOLIS,103577,1,-86.76535389075062,35.24199775413121
2120,1034734,1039607,1039607,1122 N EWING ST,INDIANAPOLIS,302803,0,-86.76535389075062,35.24199775413121
2121,1315941,1023660,1023660,3746 N CAPITOL AVE,INDIANAPOLIS,287451,1,-86.76535389075062,35.24199775413121
2122,1311728,4001771,4001771,3914 N GRAND AVE,INDIANAPOLIS,135988,0,-86.76535389075062,35.24199775413121
2123,1181633,7024717,7024717,8120 SHIBLER DR,INDIANAPOLIS,186021,0,-86.76535389075062,35.24199775413121
2124,1285407,9018523,9018523,326 S HOLMES AVE,INDIANAPOLIS,20479,0,-86.76535389075062,35.24199775413121
2125,1067657,1094838,1094838,1718 S CHESTER AVE,INDIANAPOLIS,121866,1,-86.76535389075062,35.24199775413121
2126,1000403,1067365,1067365,3621 N DEQUINCY ST,INDIANAPOLIS,161580,1,-86.76535389075062,35.24199775413121
2127,1013802,1052832,1052832,963 UDELL ST,INDIANAPOLIS,20251,0,-86.76535389075062,35.24199775413121
2128,1017992,1073049,1073049,722 W 25TH ST,INDIANAPOLIS,36438,1,-86.76535389075062,35.24199775413121
2129,1042434,1020201,1020201,1907 W MICHIGAN ST,INDIANAPOLIS,38160,1,-86.76535389075062,35.24199775413121
2130,1017533,1075708,1075708,945 W 26TH ST,INDIANAPOLIS,220982,0,-86.76535389075062,35.24199775413121
2131,1013989,1094517,1094517,2819 N GLADSTONE AVE,INDIANAPOLIS,207341,0,-86.76535389075062,35.24199775413121
2132,1009373,1033106,1033106,1218 W 31ST ST,INDIANAPOLIS,234592,1,-86.76535389075062,35.24199775413121
2133,1124303,4010705,4010705,4326 N CATHERWOOD AVE,INDIANAPOLIS,28412,1,-86.76535389075062,35.24199775413121
2134,1029701,1072595,1072595,1613 KILDARE AVE,INDIANAPOLIS,123256,1,-86.76535389075062,35.24199775413121
2135,1185363,7016158,7016158,6243 COMMODORE DR,INDIANAPOLIS,52012,0,-86.76535389075062,35.24199775413121
2136,1126983,4010456,4010456,6041 E 40TH ST,INDIANAPOLIS,80350,0,-86.76535389075062,35.24199775413121
2137,1057910,1077718,1077718,817 BIRCH AVE,INDIANAPOLIS,246302,0,-86.76535389075062,35.24199775413121
2138,1272251,9024121,9024121,1227 N MOUNT ST,INDIANAPOLIS,85715,0,-86.76535389075062,35.24199775413121
2139,1027859,1034971,1034971,1786 ROOSEVELT AVE,INDIANAPOLIS,271616,1,-86.76535723901782,35.241997723733036
2140,1312479,8004348,8004348,4759 E 39TH ST,INDIANAPOLIS,198139,0,-86.76535389075062,35.24199775413121
2141,1009529,1091298,1091298,3025 N TEMPLE AVE,INDIANAPOLIS,159238,0,-86.76535389075062,35.24199775413121
2142,1253773,9038567,9038567,3520 EISENHOWER DR,INDIANAPOLIS,122185,0,-86.76535389075062,35.24199775413121
2143,1068661,1036584,1036584,1802 ASBURY ST,INDIANAPOLIS,263805,0,-86.76535389075062,35.24199775413121
2144,1007443,1003378,1003378,1442 W 32ND ST,INDIANAPOLIS,4092,1,-86.76535723901782,35.241997723733036
2145,1078496,2005639,2005639,4111 TINCHER RD,INDIANAPOLIS,62368,1,-86.76535723901782,35.241997723733036
2146,1006707,1019457,1019457,3216 N COLLEGE AVE,INDIANAPOLIS,306883,1,-86.76535389075062,35.24199775413121
2147,1024984,1086125,1086125,2024 N DEQUINCY ST,INDIANAPOLIS,248734,0,-86.76535389075062,35.24199775413121
2148,1006223,1019515,1019515,3241 CENTRAL AVE,INDIANAPOLIS,248163,0,-86.76535389075062,35.24199775413121
