OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,NaN,NaN
2465,1065393,1066088,1066088,3024 COTTAGE AVE,INDIANAPOLIS,147760,1,-86.76535723901782,35.241997723733036
2466,1246224,8013493,8013493,4528 NORWALDO AVE,INDIANAPOLIS,310126,0,-86.76535389075062,35.24199775413121
2467,1064686,1079018,1079018,1346 KAPPES ST,INDIANAPOLIS,50885,1,-86.76535389075062,35.24199775413121
2468,1008806,1087801,1087801,333 CONGRESS AVE,INDIANAPOLIS,278553,0,-86.76535389075062,35.24199775413121
2469,1025559,1020189,1020189,2930 BROOKSIDE AVE,INDIANAPOLIS,302317,0,-86.76535389075062,35.24199775413121
2470,1023359,1070784,1070784,2156 GENT AVE,INDIANAPOLIS,207424,0,-86.76535389075062,35.24199775413121
2471,1125478,4018636,4018636,4035 ARQUETTE DR,INDIANAPOLIS,62836,1,-86.76535389075062,35.24199775413121
2472,1316467,1028405,1028405,3733 N CAPITOL AVE,INDIANAPOLIS,328324,0,-86.76535389075062,35.24199775413121
2473,1013903,1090980,1090980,2834 HIGHLAND PL,INDIANAPOLIS,244777,1,-86.76535389075062,35.24199775413121
2474,1009342,1006330,1006330,1054 W 31ST ST,INDIANAPOLIS,120113,1,-86.76535723901782,35.241997723733036
2475,1001866,1091431,1091431,3524 KINNEAR AVE,INDIANAPOLIS,49150,0,-86.76535385369752,35.24199500723385
2476,1009540,1007795,1007795,3102 CLIFTON ST,INDIANAPOLIS,201528,1,-86.76535723901782,35.241997723733036
2477,1048175,1044530,1044530,213 N WALCOTT ST,INDIANAPOLIS,7593,1,-86.7653572019646,35.24199497683567
2478,1006541,1038668,1038668,1256 W 33RD ST,INDIANAPOLIS,254714,1,-86.76535389075062,35.24199775413121
2479,1059621,1078754,1078754,1819 WOODLAWN AVE,INDIANAPOLIS,46410,0,-86.76535389075062,35.24199775413121
2480,1040743,1074961,1074961,622 N RURAL ST,INDIANAPOLIS,241435,1,-86.76535723901782,35.241997723733036
2481,1288925,9011121,9011121,705 S WHITCOMB AVE,INDIANAPOLIS,256033,1,-86.76535389075062,35.24199775413121
2482,1005522,1098867,1098867,114 E 33RD ST,INDIANAPOLIS,120070,0,-86.76535389075062,35.24199775413121
2483,1008220,1009099,1009099,3131 RALSTON AVE,INDIANAPOLIS,175541,1,-86.76535389075062,35.24199775413121
2484,1175859,7033441,7033441,3666 NEWGATE LN,INDIANAPOLIS,173899,1,-86.76535723901782,35.241997723733036
2485,1203926,7009857,7009857,5830 GREENFIELD AVE,INDIANAPOLIS,153588,0,-86.76535389075062,35.24199775413121
2486,1063687,1044575,1044575,154 W ARIZONA ST,INDIANAPOLIS,150025,0,-86.76535389075062,35.24199775413121
2487,1265069,9005496,9005496,2119 LAFAYETTE RD,INDIANAPOLIS,121404,0,-86.76535389075062,35.24199775413121
2488,1043084,1090662,1090662,451 N GRAY ST,INDIANAPOLIS,35501,0,-86.76535389075062,35.24199775413121
2489,1046151,1004604,1004604,250 N TEMPLE AVE,INDIANAPOLIS,51413,1,-86.7653572019646,35.24199497683567
2490,1013722,1029792,1029792,2813 BALTIMORE AVE,INDIANAPOLIS,191147,0,-86.76535389075062,35.24199775413121
2491,1315880,1043428,1043428,3729 N DEQUINCY ST,INDIANAPOLIS,109326,0,-86.76535389075062,35.24199775413121
2492,1046838,1016613,1016613,225 N TEMPLE AVE,INDIANAPOLIS,198420,1,-86.76535389075062,35.24199775413121
2493,1007091,1056404,1056404,3164 STATION ST,INDIANAPOLIS,56015,0,-86.76535389075062,35.24199775413121
2494,1028599,1020886,1020886,2546 BROOKWAY ST,INDIANAPOLIS,70511,1,-86.76535389075062,35.24199775413121
2495,1005880,1020306,1020306,3262 RUCKLE ST,INDIANAPOLIS,22303,1,-86.76535389075062,35.24199775413121
2496,1200748,7010175,7010175,29 S CATHERWOOD AVE,INDIANAPOLIS,241137,0,-86.76535389075062,35.24199775413121
2497,1055632,1074205,1074205,4355 SPANN AVE,INDIANAPOLIS,300469,1,-86.76535389075062,35.24199775413121
2498,1064756,1081932,1081932,1329 GOLAY ST,INDIANAPOLIS,117008,0,-86.76535389075062,35.24199775413121
2499,1015836,1069341,1069341,1353 W 27TH ST,INDIANAPOLIS,258673,1,-86.76535389075062,35.24199775413121
2500,1047108,1078459,1078459,214 N OAKLAND AVE,INDIANAPOLIS,201283,1,-86.76535389075062,35.24199775413121
2501,1039087,1058360,1058360,752 N ELDER AVE,INDIANAPOLIS,8066,0,-86.76535389075062,35.24199775413121
2502,1033848,1094583,1094583,727 DRAKE ST,INDIANAPOLIS,313939,0,-86.76535389075062,35.24199775413121
2503,1013346,1075058,1075058,2841 BOULEVARD PL,INDIANAPOLIS,334884,1,-86.76535389075062,35.24199775413121
2504,1047086,1041888,1041888,216 EASTERN AVE,INDIANAPOLIS,198525,0,-86.76535389075062,35.24199775413121
2505,1006872,1043546,1043546,3234 WINTHROP AVE,INDIANAPOLIS,66761,1,-86.76535389075062,35.24199775413121
2506,1316291,1062816,1062816,3738 N CAPITOL AVE,INDIANAPOLIS,256682,0,-86.76535389075062,35.24199775413121
2507,1007549,1009200,1009200,1064 W 32ND ST,INDIANAPOLIS,135610,1,-86.76535389075062,35.24199775413121
1814,1015817,1058761,1058761,1309 W 27TH ST,INDIANAPOLIS,175350,0,-86.76535389075062,35.24199775413121
1815,1005033,1025602,1025602,3338 N KENWOOD AVE,INDIANAPOLIS,67173,0,-86.76535389075062,35.24199775413121
1816,1003467,1024948,1024948,3412 N DENNY ST,INDIANAPOLIS,158038,0,-86.76535389075062,35.24199775413121
1817,1291855,9019938,9019938,1140 S WARMAN AVE,INDIANAPOLIS,157434,0,-86.76535389075062,35.24199775413121
1818,1046885,1017889,1017889,54 N KEALING AVE,INDIANAPOLIS,246712,0,-86.76535389075062,35.24199775413121
1819,1380831,1102554,1102554,24 N BRADLEY AVE,INDIANAPOLIS,172541,0,-86.76535389075062,35.24199775413121
1820,1028327,1084659,1084659,2631 E 18TH ST,INDIANAPOLIS,239852,1,-86.76535389075062,35.24199775413121
1821,1009948,1004301,1004301,3015 ADAMS ST,INDIANAPOLIS,178907,1,-86.76535723901782,35.241997723733036
1822,1013165,1021530,1021530,2856 N OLNEY ST,INDIANAPOLIS,286878,1,-86.76535389075062,35.24199775413121
1823,1008179,1053839,1053839,3146 BOULEVARD PL,INDIANAPOLIS,292920,0,-86.76535389075062,35.24199775413121
1824,1016478,1082235,1082235,3320 E 26TH ST,INDIANAPOLIS,34876,0,-86.76535389075062,35.24199775413121
1825,1001967,1091021,1091021,3521 ORCHARD AVE,INDIANAPOLIS,262406,0,-86.76535389075062,35.24199775413121
1826,1322532,1001307,1001307,1260 S EMERSON AVE,INDIANAPOLIS,169298,1,-86.76535389075062,35.24199775413121
1827,1027586,1024277,1024277,1816 GENT AVE,INDIANAPOLIS,184512,0,-86.76535389075062,35.24199775413121
1828,1249879,8012151,8012151,4210 CARROLLTON AVE,INDIANAPOLIS,74636,0,-86.76535389075062,35.24199775413121
1829,1004258,1084880,1084880,3370 N GLADSTONE AVE,INDIANAPOLIS,217656,1,-86.76535389075062,35.24199775413121
1830,1032027,1033175,1033175,3229 NOWLAND AVE,INDIANAPOLIS,179227,1,-86.76535389075062,35.24199775413121
1831,1273343,9021368,9021368,1150 N WARMAN AVE,INDIANAPOLIS,326018,0,-86.76535389075062,35.24199775413121
1832,1005752,1017124,1017124,3266 RUCKLE ST,INDIANAPOLIS,324548,1,-86.76535389075062,35.24199775413121
1833,1007186,1035452,1035452,533 E 32ND ST,INDIANAPOLIS,227155,1,-86.76535389075062,35.24199775413121
1834,1344738,7041452,7041452,6040 E WASHINGTON ST,INDIANAPOLIS,127520,1,-86.76535389075062,35.24199775413121
1835,1019292,1061747,1061747,2425 N COLLEGE AVE,INDIANAPOLIS,260561,0,-86.76535389075062,35.24199775413121
1836,1010622,1011833,1011833,3006 N CAPITOL AVE,INDIANAPOLIS,234988,1,-86.76535389075062,35.24199775413121
1837,1262717,9037902,9037902,2927 COLERAIN DR,INDIANAPOLIS,257535,1,-86.76535389075062,35.24199775413121
1838,1029501,1020439,1020439,2815 E 17TH ST,INDIANAPOLIS,75699,1,-86.76535389075062,35.24199775413121
1839,1003142,1062252,1062252,3426 N GRANT AVE,INDIANAPOLIS,38136,1,-86.76535389075062,35.24199775413121
1840,1033236,1007556,1007556,1315 N LASALLE ST,INDIANAPOLIS,338056,1,-86.76535389075062,35.24199775413121
1841,1252144,8016518,8016518,3935 N TEMPLE AVE,INDIANAPOLIS,29766,1,-86.76535723901782,35.241997723733036
1842,1183540,7024822,7024822,8238 WYSONG DR,INDIANAPOLIS,63208,1,-86.76535389075062,35.24199775413121
1843,1014898,1024591,1024591,2742 ADAMS ST,INDIANAPOLIS,31387,0,-86.76535389075062,35.24199775413121
1844,1018670,1074541,1074541,2445 N HARDING ST,INDIANAPOLIS,171620,1,-86.76535389075062,35.24199775413121
1845,1010352,1002960,1002960,1210 W 30TH ST,INDIANAPOLIS,177734,0,-86.76535389075062,35.24199775413121
1846,1018650,1009821,1009821,2428 N GALE ST,INDIANAPOLIS,104392,1,-86.76535723901782,35.241997723733036
1847,1069313,1039359,1039359,1125 E NAOMI ST,INDIANAPOLIS,3450,1,-86.76535723901782,35.241997723733036
1848,1026088,1088345,1088345,1946 HOUSTON ST,INDIANAPOLIS,34672,1,-86.76535723901782,35.241997723733036
1849,1004220,1077904,1077904,3354 HOVEY ST,INDIANAPOLIS,328950,1,-86.76535389075062,35.24199775413121
1850,1076593,1099575,1099575,1801 E GIMBER ST,INDIANAPOLIS,64735,0,-86.76535389075062,35.24199775413121
1851,1191549,7036066,7036066,1335 N BONAR AVE,INDIANAPOLIS,84865,0,-86.76535389075062,35.24199775413121
1852,1127943,5007766,5007766,1243 MARTIN ST,INDIANAPOLIS,261309,1,-86.76535723901782,35.241997723733036
1853,1029320,1075111,1075111,2245 BROOKSIDE AVE,INDIANAPOLIS,268471,1,-86.76535389075062,35.24199775413121
1854,1205660,7018391,7018391,1232 S RITTER AVE,INDIANAPOLIS,196733,0,-86.76535389075062,35.24199775413121
1855,1011628,1079722,1079722,2940 WASHINGTON BLVD,INDIANAPOLIS,176772,1,-86.76535389075062,35.24199775413121
1856,1372545,4043532,4043532,10635 PENDLETON PIKE,LAWRENCE,244641,1,-86.7653572019646,35.24199497683567
1857,1222022,8024098,8024098,1555 E 73RD ST,INDIANAPOLIS,182611,1,-86.76535723901782,35.241997723733036
1858,1123852,4016377,4016377,8338 MEADOWLARK DR,INDIANAPOLIS,66288,1,-86.76535723901782,35.241997723733036
1859,1025205,1038191,1038191,2018 N DEARBORN ST,INDIANAPOLIS,257974,1,-86.76535389075062,35.24199775413121
1860,1036245,1025179,1025179,1918 W 10TH ST,INDIANAPOLIS,245267,1,-86.76535389075062,35.24199775413121
1812,1062548,1073569,1073569,1205 S RANDOLPH ST,INDIANAPOLIS,281189,1,-86.76535723901782,35.241997723733036
1813,1061192,1016815,1016815,1113 VILLA AVE,INDIANAPOLIS,82694,1,-86.76535389075062,35.24199775413121
1861,1068940,1024689,1024689,1636 E NAOMI ST,INDIANAPOLIS,178739,0,-86.76535389075062,35.24199775413121
1862,1006484,1012088,1012088,3236 N KENWOOD AVE,INDIANAPOLIS,75083,1,-86.76535723901782,35.241997723733036
2508,1179654,7019418,7019418,3222 N SHORTRIDGE RD,INDIANAPOLIS,196030,0,-86.76535389075062,35.24199775413121
2509,1013273,1016174,1016174,618 UDELL ST,INDIANAPOLIS,296131,0,-86.76535389075062,35.24199775413121
2510,1033983,1060583,1060583,1217 N LASALLE ST,INDIANAPOLIS,315990,1,-86.76535389075062,35.24199775413121
2511,1318455,7007492,7007492,3430 N LELAND AVE,INDIANAPOLIS,202574,1,-86.76535389075062,35.24199775413121
2512,1036703,1085380,1085380,962 N TUXEDO ST,INDIANAPOLIS,297943,1,-86.76535389075062,35.24199775413121
2513,1004531,1048065,1048065,3389 N DENNY ST,INDIANAPOLIS,316745,1,-86.76535389075062,35.24199775413121
2514,1317263,1019588,1019588,3718 N CAPITOL AVE,INDIANAPOLIS,89667,0,-86.76535389075062,35.24199775413121
2515,1042572,1043173,1043173,510 N TACOMA AVE,INDIANAPOLIS,311151,1,-86.76535723901782,35.241997723733036
2516,1289190,9010763,9010763,714 S LYNHURST DR,INDIANAPOLIS,216115,1,-86.76535723901782,35.241997723733036
2517,1271398,9018015,9018015,1416 N TREMONT ST,INDIANAPOLIS,304922,0,-86.76535389075062,35.24199775413121
2518,1067555,1075514,1075514,418 E MINNESOTA ST,INDIANAPOLIS,150155,1,-86.76535723901782,35.241997723733036
2519,1287456,9018749,9018749,562 S WARMAN AVE,INDIANAPOLIS,331898,0,-86.76535389075062,35.24199775413121
2520,1294095,9013899,9013899,1523 S KIEL AVE,INDIANAPOLIS,307298,0,-86.76535389075062,35.24199775413121
2521,1007352,1067172,1067172,946 W 32ND ST,INDIANAPOLIS,271852,1,-86.76535389075062,35.24199775413121
2522,1002636,1014418,1014418,3503 SALEM ST,INDIANAPOLIS,58893,0,-86.76535389075062,35.24199775413121
2523,1040744,1076758,1076758,620 N LASALLE ST,INDIANAPOLIS,131919,1,-86.76535389075062,35.24199775413121
2524,1177630,7002316,7002316,3509 LESLEY AVE,INDIANAPOLIS,221429,0,-86.76535389075062,35.24199775413121
2525,1019548,1058011,1058011,2416 HIGHLAND PL,INDIANAPOLIS,281407,0,-86.76535389075062,35.24199775413121
2526,1068765,1056911,1056911,1830 SHELBY ST,INDIANAPOLIS,20654,1,-86.76535723901782,35.241997723733036
2527,1250614,8010121,8010121,4140 WINTHROP AVE,INDIANAPOLIS,233283,1,-86.76535723901782,35.241997723733036
2528,1271932,9018456,9018456,1247 N MOUNT ST,INDIANAPOLIS,162842,0,-86.76535389075062,35.24199775413121
2529,1014628,1051460,1051460,3625 E 28TH ST,INDIANAPOLIS,248388,1,-86.76535389075062,35.24199775413121
2530,1007536,1042616,1042616,922 W 32ND ST,INDIANAPOLIS,52145,1,-86.76535389075062,35.24199775413121
2531,1181395,7031644,7031644,9440 MERCURY DR,INDIANAPOLIS,325859,0,-86.76535389075062,35.24199775413121
2532,1318869,7005711,7005711,2202 N SPENCER AVE,INDIANAPOLIS,320251,0,-86.76535389075062,35.24199775413121
2533,1007346,1073177,1073177,924 W 32ND ST,INDIANAPOLIS,234967,0,-86.76535389075062,35.24199775413121
2534,1048504,1070350,1070350,3839 E WASHINGTON ST,INDIANAPOLIS,305221,0,-86.76535389075062,35.24199775413121
2535,1040431,1029073,1029073,633 N RURAL ST,INDIANAPOLIS,94437,1,-86.76535723901782,35.241997723733036
2536,1046045,1057555,1057555,3730 E MARKET ST,INDIANAPOLIS,187855,1,-86.76535723901782,35.241997723733036
2537,1184871,7015678,7015678,2319 N WEBSTER AVE,INDIANAPOLIS,151765,0,-86.76535389075062,35.24199775413121
2538,1251054,8016604,8016604,4054 BYRAM AVE,INDIANAPOLIS,190766,1,-86.76535389075062,35.24199775413121
2539,1063331,1029498,1029498,1909 ORANGE ST,INDIANAPOLIS,244132,0,-86.76535389075062,35.24199775413121
2540,1072856,1000631,1000631,3843 BETHEL AVE,INDIANAPOLIS,235026,0,-86.76535389075062,35.24199775413121
2541,1370498,1042173,1042173,821 N KEYSTONE AVE,INDIANAPOLIS,336789,1,-86.76535389075062,35.24199775413121
2542,1018424,1072409,1072409,2443 WHEELER ST,INDIANAPOLIS,47836,0,-86.76535389075062,35.24199775413121
2543,1043399,1061176,1061176,437 N BEVILLE AVE,INDIANAPOLIS,341941,1,-86.76535723901782,35.241997723733036
2544,1070221,1001630,1001630,3209 BETHEL AVE,INDIANAPOLIS,177029,0,-86.76535389075062,35.24199775413121
2545,1024591,1017786,1017786,2041 ADAMS ST,INDIANAPOLIS,129976,0,-86.76535389075062,35.24199775413121
2546,1206532,7015125,7015125,1614 S IRVINGTON AVE,INDIANAPOLIS,153436,1,-86.76535723901782,35.241997723733036
2547,1286155,9022591,9022591,425 S WARMAN AVE,INDIANAPOLIS,7017,1,-86.76535723901782,35.241997723733036
2548,1020964,1067007,1067007,2330 N CAPITOL AVE,INDIANAPOLIS,46484,0,-86.76535389075062,35.24199775413121
2549,1021101,1079231,1079231,1236 W 23RD ST,INDIANAPOLIS,99726,0,-86.76535389075062,35.24199775413121
2550,1250725,8014235,8014235,4076 CORNELIUS AVE,INDIANAPOLIS,202752,0,-86.76535389075062,35.24199775413121
2551,1013707,1028017,1028017,2813 CAROLINE AVE,INDIANAPOLIS,293261,1,-86.76535723901782,35.241997723733036
2552,1279956,9016305,9016305,421 N GOODLET AVE,INDIANAPOLIS,139793,0,-86.76535389075062,35.24199775413121
2553,1012033,1037734,1037734,2922 N DENNY ST,INDIANAPOLIS,326678,1,-86.76535389075062,35.24199775413121
2554,1026478,1010240,1010240,2051 ROOSEVELT AVE,INDIANAPOLIS,291171,1,-86.76535723901782,35.241997723733036
2555,1325304,1073076,1073076,1508 E TROY AVE,INDIANAPOLIS,163154,1,-86.76535723901782,35.241997723733036
2556,1018877,1030175,1030175,2461 BOND ST,INDIANAPOLIS,225621,0,-86.76535389075062,35.24199775413121
2557,1017785,1012080,1012080,2515 GUILFORD AVE,INDIANAPOLIS,280986,0,-86.76535389075062,35.24199775413121
2558,1040618,1066432,1066432,622 N OXFORD ST,INDIANAPOLIS,190809,0,-86.76535389075062,35.24199775413121
2559,1251679,8012321,8012321,534 E 40TH ST,INDIANAPOLIS,142082,1,-86.76535389075062,35.24199775413121
2560,1272929,9016558,9016558,1163 N MOUNT ST,INDIANAPOLIS,286685,1,-86.76535723901782,35.241997723733036
1863,1018931,1048907,1048907,1310 EDGEMONT AVE,INDIANAPOLIS,285699,1,-86.76535389075062,35.24199775413121
1864,1044487,1054544,1054544,331 N DEARBORN ST,INDIANAPOLIS,14135,1,-86.76535389075062,35.24199775413121
1865,1338595,7028083,7028083,1530 ROSEWAY DR,INDIANAPOLIS,332033,0,-86.76535389075062,35.24199775413121
1866,1045689,1032259,1032259,3219 E NEW YORK ST,INDIANAPOLIS,272617,0,-86.76535389075062,35.24199775413121
1867,1280426,9017204,9017204,362 N ADDISON ST,INDIANAPOLIS,184326,1,-86.76535723901782,35.241997723733036
1868,1221777,8024167,8024167,1720 E 73RD ST,INDIANAPOLIS,143452,1,-86.76535389075062,35.24199775413121
1869,1059466,1050893,1050893,2320 WOODLAWN AVE,INDIANAPOLIS,109399,0,-86.76535389075062,35.24199775413121
1870,1314132,8029346,8029346,1850 E 38TH ST,INDIANAPOLIS,121526,1,-86.76535389075062,35.24199775413121
1871,1315955,7002706,7002706,3722 N AUDUBON RD,INDIANAPOLIS,63406,0,-86.76535389075062,35.24199775413121
1872,1185076,7015365,7015365,2302 N WEBSTER AVE,INDIANAPOLIS,63897,0,-86.76535389075062,35.24199775413121
1873,1028609,1041186,1041186,1739 N TACOMA AVE,INDIANAPOLIS,104609,1,-86.76535389075062,35.24199775413121
1874,1006281,1092448,1092448,3217 N TACOMA AVE,INDIANAPOLIS,16030,1,-86.76535723901782,35.241997723733036
1875,1279400,9020442,9020442,3611 W MICHIGAN ST,INDIANAPOLIS,275734,1,-86.76535723901782,35.241997723733036
1876,1045640,1053292,1053292,2316 E NEW YORK ST,INDIANAPOLIS,206829,1,-86.76535389075062,35.24199775413121
1877,1010226,1003078,1003078,642 W 30TH ST,INDIANAPOLIS,271704,0,-86.76535389075062,35.24199775413121
1878,1066027,1013404,1013404,1536 DRAPER ST,INDIANAPOLIS,291272,1,-86.76535389075062,35.24199775413121
1879,1062431,1005825,1005825,221 SANDERS ST,INDIANAPOLIS,329814,1,-86.76535389075062,35.24199775413121
1880,1048775,1080108,1080108,20 N KEYSTONE AVE,INDIANAPOLIS,76360,1,-86.76535723901782,35.241997723733036
1881,1064960,1004984,1004984,618 COTTAGE AVE,INDIANAPOLIS,144170,1,-86.76535389075062,35.24199775413121
1882,1007351,1070154,1070154,942 W 32ND ST,INDIANAPOLIS,12391,0,-86.76535389075062,35.24199775413121
1883,1007036,1068758,1068758,1311 W 33RD ST,INDIANAPOLIS,254148,0,-86.76535389075062,35.24199775413121
1884,1046971,1054204,1054204,38 N COLORADO AVE,INDIANAPOLIS,313067,1,-86.76535723901782,35.241997723733036
1885,1153503,5027075,5027075,2817 DEL PRADO DR,INDIANAPOLIS,51191,0,-86.76535389075062,35.24199775413121
1886,1010876,1031292,1031292,945 W 30TH ST,INDIANAPOLIS,234022,1,-86.76535723901782,35.241997723733036
1887,1124073,4012078,4012078,4327 IRWIN AVE,INDIANAPOLIS,307008,0,-86.76535389075062,35.24199775413121
1888,1047683,1038928,1038928,207 JEFFERSON AVE,INDIANAPOLIS,270076,1,-86.76535389075062,35.24199775413121
1889,1000251,1058007,1058007,3641 N DEARBORN ST,INDIANAPOLIS,131763,1,-86.76535389075062,35.24199775413121
1890,1284678,9026240,9026240,3517 ROCKVILLE RD,INDIANAPOLIS,807,1,-86.76535389075062,35.24199775413121
1891,1183932,7015574,7015574,2437 N WEBSTER AVE,INDIANAPOLIS,25485,0,-86.76535389075062,35.24199775413121
1892,1064311,1076410,1076410,1326 KAPPES ST,INDIANAPOLIS,111746,1,-86.76535389075062,35.24199775413121
1893,1000822,1066290,1066290,3610 RALSTON AVE,INDIANAPOLIS,126192,1,-86.76535723901782,35.241997723733036
1894,1067754,1045102,1045102,241 E MINNESOTA ST,INDIANAPOLIS,156844,1,-86.76535723901782,35.241997723733036
1895,1028184,1089964,1089964,2501 BROOKSIDE AVE,INDIANAPOLIS,198818,1,-86.76535389075062,35.24199775413121
1896,1013546,1065631,1065631,2838 N GALE ST,INDIANAPOLIS,8333,1,-86.76535723901782,35.241997723733036
1897,1018533,1069680,1069680,2446 HOVEY ST,INDIANAPOLIS,171189,0,-86.76535389075062,35.24199775413121
1898,1027379,1074763,1074763,2633 BROOKSIDE AVE,INDIANAPOLIS,304695,1,-86.76535389075062,35.24199775413121
1899,1008935,1040070,1040070,1153 CONGRESS AVE,INDIANAPOLIS,198929,0,-86.76535389075062,35.24199775413121
1900,1029818,1012797,1012797,4206 E 16TH ST,INDIANAPOLIS,169302,1,-86.76535389075062,35.24199775413121
1901,1044169,1003923,1003923,338 N BRADLEY AVE,INDIANAPOLIS,74694,1,-86.76535389075062,35.24199775413121
1902,1252463,8017363,8017363,3917 CARROLLTON AVE,INDIANAPOLIS,11944,0,-86.76535389075062,35.24199775413121
1903,1274057,9015684,9015684,1102 N HOLMES AVE,INDIANAPOLIS,27331,1,-86.76535723901782,35.241997723733036
1904,1059864,1064445,1064445,1639 WOODLAWN AVE,INDIANAPOLIS,282235,1,-86.76535389075062,35.24199775413121
1905,1315781,1081574,1081574,3736 N GLADSTONE AVE,INDIANAPOLIS,185290,0,-86.76535389075062,35.24199775413121
1906,1020149,1065330,1065330,2402 N KENWOOD AVE,INDIANAPOLIS,117343,1,-86.76535389075062,35.24199775413121
1907,1016212,1007318,1007318,1306 ROACHE ST,INDIANAPOLIS,102477,0,-86.76535389075062,35.24199775413121
1908,1013141,1072098,1072098,2830 N PARK AVE,INDIANAPOLIS,200270,0,-86.76535389075062,35.24199775413121
1909,1077512,1095376,1095376,2816 VILLA AVE,INDIANAPOLIS,62021,1,-86.76535723901782,35.241997723733036
1910,1045437,1013314,1013314,401 N WALCOTT ST,INDIANAPOLIS,82951,1,-86.76535389075062,35.24199775413121
2561,1057622,1054836,1054836,1071 W MCCARTY ST,INDIANAPOLIS,59339,0,-86.76535389075062,35.24199775413121
2562,1032112,1015539,1015539,1365 N OLNEY ST,INDIANAPOLIS,290299,1,-86.76535723901782,35.241997723733036
2563,1015864,1051464,1051464,2710 STATION ST,INDIANAPOLIS,42273,0,-86.76535389075062,35.24199775413121
2564,1042290,1012229,1012229,548 N HIGHLAND AVE,INDIANAPOLIS,320430,1,-86.76535389075062,35.24199775413121
2565,1231658,8010210,8010210,245 E WESTFIELD BLVD,INDIANAPOLIS,237367,0,-86.76535389075062,35.24199775413121
2566,1020714,1033746,1033746,2328 INDIANAPOLIS AVE,INDIANAPOLIS,259783,1,-86.76535389075062,35.24199775413121
2567,1009097,1023044,1023044,3069 WASHINGTON BLVD,INDIANAPOLIS,263373,0,-86.76535389075062,35.24199775413121
2568,1039811,1042630,1042630,650 N PARKER AVE,INDIANAPOLIS,185754,1,-86.76535723901782,35.241997723733036
2569,1008139,1054678,1054678,3829 E 32ND ST,INDIANAPOLIS,81409,1,-86.76535389075062,35.24199775413121
2570,1035185,1063720,1063720,1101 N DEARBORN ST,INDIANAPOLIS,107163,0,-86.76535389075062,35.24199775413121
2571,1285094,9012820,9012820,4304 BERTHA ST,INDIANAPOLIS,6005,0,-86.76535389075062,35.24199775413121
2572,1015512,1010700,1010700,2718 N OLNEY ST,INDIANAPOLIS,191879,0,-86.76535389075062,35.24199775413121
2573,1288018,9011332,9011332,531 S RYBOLT AVE,INDIANAPOLIS,178383,1,-86.76535389075062,35.24199775413121
2574,1343246,3016737,3016737,3257 CAPSELLA LN,INDIANAPOLIS,101607,1,-86.76535723901782,35.241997723733036
2575,1045784,1029336,1029336,315 JEFFERSON AVE,INDIANAPOLIS,174131,0,-86.76535389075062,35.24199775413121
2576,1036514,1013817,1013817,325 E 10TH ST,INDIANAPOLIS,190563,0,-86.76535389075062,35.24199775413121
2577,1049832,1027866,1027866,146 E WASHINGTON ST,INDIANAPOLIS,262972,1,-86.76535723901782,35.241997723733036
2578,1276273,9024030,9024030,928 N MORELAND AVE,INDIANAPOLIS,212148,0,-86.76535389075062,35.24199775413121
2579,1014783,1089813,1089813,845 W 28TH ST,INDIANAPOLIS,109924,0,-86.76535389075062,35.24199775413121
2580,1275346,9024015,9024015,969 N PERSHING AVE,INDIANAPOLIS,316277,1,-86.76535723901782,35.241997723733036
2581,1022114,1059585,1059585,2229 N ARSENAL AVE,INDIANAPOLIS,328053,1,-86.76535389075062,35.24199775413121
2582,1193339,7026548,7026548,6219 E 12TH ST,INDIANAPOLIS,155793,1,-86.76535389075062,35.24199775413121
2583,1032281,1048054,1048054,1355 N KEALING AVE,INDIANAPOLIS,204263,1,-86.76535723901782,35.241997723733036
2584,1000410,1042469,1042469,3645 GRACELAND AVE,INDIANAPOLIS,32340,1,-86.76535389075062,35.24199775413121
2585,1015249,1028947,1028947,2726 ETHEL AVE,INDIANAPOLIS,165486,0,-86.76535389075062,35.24199775413121
2586,1005274,1055856,1055856,3440 N HARDING ST,INDIANAPOLIS,265118,0,-86.76535389075062,35.24199775413121
2587,1041111,1078502,1078502,549 LYNN ST,INDIANAPOLIS,31163,0,-86.76535389075062,35.24199775413121
2588,1318956,1089342,1089342,5037 E 21ST ST,INDIANAPOLIS,189545,0,-86.76535389075062,35.24199775413121
2589,1018657,1077347,1077347,2449 HIGHLAND PL,INDIANAPOLIS,237966,1,-86.76535389075062,35.24199775413121
2590,1070098,1021551,1021551,1330 CALHOUN ST,INDIANAPOLIS,37988,1,-86.76535389075062,35.24199775413121
2591,1175745,7028561,7028561,3664 IRELAND DR,INDIANAPOLIS,17716,0,-86.76535389075062,35.24199775413121
2592,1199258,7012033,7012033,5334 LOWELL AVE,INDIANAPOLIS,304551,0,-86.76535389075062,35.24199775413121
2593,1256613,9034520,9034520,3224 WELCH DR,INDIANAPOLIS,89965,0,-86.76535389075062,35.24199775413121
2594,1322599,1041910,1041910,1329 S BELMONT AVE,INDIANAPOLIS,273581,1,-86.76535389075062,35.24199775413121
2595,1251397,8014892,8014892,4025 CORNELIUS AVE,INDIANAPOLIS,284772,0,-86.76535389075062,35.24199775413121
2596,1002752,1082224,1082224,3450 CAROLINE AVE,INDIANAPOLIS,302381,0,-86.76535389075062,35.24199775413121
